name,functions,color,precision,company,productURL,photoURL,favorite,rating,notes,status,oversampling
AERO AMP,Filter/Amp Sim,Vintage ('60's & Earlier)/70's/80's/Modern,Vibey Analog,Acoustica Audio,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/152/original/Aero_Stomp_teaser_001.png?1654007938,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/149/original/Aero_Amp_teaser_001.png?1654007935,FALSE,3,,active,FALSE
AERO STOMP,Distortion/Amp Sim,Vintage ('60's & Earlier)/70's/80's/Modern,Vibey Analog,Acoustica Audio,https://www.acustica-audio.com/store/products/aerovolumea,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/149/original/Aero_Amp_teaser_001.png?1654007935,FALSE,3,,active,FALSE
AMEK EQ 200,EQ,,,Brainworx,https://www.plugin-alliance.com/en/products/amek_eq_200.html,https://www.brainworx.audio/assets/images/d/Amek-EQ-200-16d7ec65-c6b3f16d.png,TRUE,5,,active,FALSE
Ampeg B15N,Distortion/Amp Sim/Cabinet Sim,70's/80's,Vibey Analog,Ampeg,https://www.plugin-alliance.com/en/products/ampeg_b15n.html,https://ampeg.com/images/Heritage-B-15_FRONTHEAD.jpg,FALSE,3,,active,FALSE
Ampeg SVTVR Classic,Distortion/Amp Sim/Cabinet Sim,70's/80's,Vibey Analog,Ampeg,https://www.plugin-alliance.com/en/products/ampeg_svtvr_classic.html,https://media.uaudio.com/assetlibrary/a/m/ampeg_svt-vr_carousel_1_@2x_1.jpg,FALSE,3,,active,FALSE
AMPER,,,,Analog Obsession,https://www.patreon.com/posts/amper-34769708,https://c10.patreonusercontent.com/4/patreon-media/p/post/34769708/6b7b040ab8f549408c15ea4355b1f9bb/eyJ3Ijo2MjB9/1.png?token-time=1657756800&token-hash=JtT80dj86GaWn_iOMP-dnAKug_u51NbLeHTBU58tdKc%3D,FALSE,3,,active,TRUE
Analog Lab 4,Instruments,70's/80's/Modern,Vibey Analog,Arturia,https://www.arturia.com/products/analog-classics/analoglab,https://medias.arturia.net/images/products/analoglab-4/catalog-image.png,FALSE,3,,active,FALSE
Analog Lab V,Instruments,70's/80's,Vibey Analog,Arturia,https://www.arturia.com/products/analog-classics/analoglab,https://medias.arturia.net/images/products/analoglab-4/catalog-image.png,TRUE,3,,active,FALSE
Atmos 2,,,,Electronik Sound Lab,https://www.kvraudio.com/product/atmos-2-by-electronik-sound-lab,https://electroniksoundlab.com/wp-content/uploads/2019/12/ATMOS-2-GUI.png,FALSE,3,"Atmos 2 is a FREE Ambient Piano Plugin instrument for Windows & Mac. The samples of Atmos 2 were recorded in November 2019, using a Yamaha C3 Grand Piano as a source, at a music school in Mallorca (Balearic Islands) To obtain the samples A Zoom H6 digital recorder was used.

Features:

56 samples.
2 Layers.
ADSR Controls.
LFO Modulation.
Filter HP/LP.
macOS Catalina Support.",active,FALSE
Augmented STRINGS,,,,Arturia,https://www.arturia.com/products/software-instruments/augmented-strings-intro/overview,https://medias.arturia.net/images/products/augmented-strings-intro/morph-transition.jpg,FALSE,3,,active,FALSE
